fatoOuFake, tituloNoticia, link
0,É #FAKE imagem de extrato de urna em que votos para Haddad superam número de eleitores aptos,https://g1.globo.com/fato-ou-fake/noticia/2018/10/08/e-fake-imagem-de-extrato-de-urna-em-que-votos-para-haddad-superam-numero-de-eleitores-aptos.ghtml
1,É #FATO que deputados eleitos pelo PSL quebraram placa com nome de Marielle Franco em comício de Wilson Witzel,https://g1.globo.com/fato-ou-fake/noticia/2018/10/08/e-fato-que-deputados-eleitos-pelo-psl-quebraram-placa-com-nome-de-marielle-franco-em-comicio-de-wilson-witzel.ghtml
0,É #FAKE áudio atribuído a Pedro Bial em que ele critica um possível governo de Haddad,https://g1.globo.com/fato-ou-fake/noticia/2018/10/08/e-fake-audio-atribuido-a-pedro-bial-em-que-ele-critica-um-possivel-governo-de-haddad.ghtml
0,É #FAKE que Jean Wyllys não foi reeleito deputado federal no RJ,https://g1.globo.com/fato-ou-fake/noticia/2018/10/08/e-fake-que-jean-wyllys-nao-foi-reeleito-deputado-federal-no-rj.ghtml
0,É #FAKE que Trump fez post no Twitter em favor de Jair Bolsonaro,https://g1.globo.com/fato-ou-fake/noticia/2018/10/07/e-fake-que-trump-fez-post-no-twitter-em-favor-de-jair-bolsonaro.ghtml
0,É #FAKE vídeo em que eleitor seleciona a tecla "1" e aparece automaticamente o candidato Fernando Haddad na urna,https://g1.globo.com/fato-ou-fake/noticia/2018/10/07/e-fake-video-em-que-eleitor-seleciona-a-tecla-1-e-aparece-automaticamente-o-candidato-fernando-haddad-na-urna.ghtml
0,É #FAKE que João Amoêdo desistiu de candidatura à Presidência e recomenda voto em Bolsonaro,https://g1.globo.com/fato-ou-fake/noticia/2018/10/06/e-fake-que-joao-amoedo-desistiu-de-candidatura-a-presidencia-e-recomenda-voto-em-bolsonaro.ghtml
0,É #FAKE que Google fez pesquisa eleitoral e que irá deixar de operar no Brasil se resultado não bater com o apurado,https://g1.globo.com/fato-ou-fake/noticia/2018/10/07/e-fake-que-google-fez-pesquisa-eleitoral-e-que-ira-deixar-de-operar-no-brasil-se-resultado-nao-bater-com-o-apurado.ghtml
0,É #FAKE mensagem atribuída a Eduardo Bolsonaro que orienta eleitores a não votar com a camiseta de Jair Bolsonaro,https://g1.globo.com/fato-ou-fake/noticia/2018/10/07/e-fake-mensagem-atribuida-a-eduardo-bolsonaro-que-orienta-eleitores-a-nao-votar-com-a-camiseta-de-jair-bolsonaro.ghtml
0,É #FAKE que candidato a vice de Bolsonaro propôs confisco da poupança,https://g1.globo.com/fato-ou-fake/noticia/2018/10/06/e-fake-que-candidato-a-vice-de-bolsonaro-propos-confisco-da-poupanca.ghtml
0,É #FAKE que PF apreendeu van com urnas eletrônicas alteradas com votos para Haddad,https://g1.globo.com/fato-ou-fake/noticia/2018/10/05/e-fake-que-pf-apreendeu-van-com-urnas-eletronicas-alteradas-com-votos-para-haddad.ghtml
